cell,frame,type,count
1,1,Nascent,16
1,2,Mature,7
1,2,Nascent,5
1,3,Nascent,21
1,4,Nascent,41
1,5,Nascent,28
1,6,Nascent,9
1,7,No Spots,1
1,8,Mature,16
1,8,Nascent,376
1,11,Nascent,9
1,12,Nascent,16
1,13,Nascent,3
1,14,No Spots,1
1,15,Nascent,23
1,19,Nascent,10
1,20,Nascent,5
1,21,Nascent,1
1,22,Nascent,1
1,23,Mature,49
1,23,Nascent,394
1,24,Nascent,9
1,25,Nascent,10
1,26,Nascent,4
1,27,Nascent,8
1,28,Nascent,3
1,29,Nascent,2
1,30,Nascent,11
1,31,No Spots,1
1,32,Nascent,3
1,34,Nascent,22
1,35,Mature,15
1,35,Nascent,171
1,36,Nascent,8
1,37,Nascent,10
1,38,Nascent,7
1,39,No Spots,1
1,42,Mature,8
1,42,Nascent,9
1,43,Nascent,37
1,44,Nascent,19
1,46,Nascent,66
1,47,Nascent,7
1,48,Mature,20
1,48,Nascent,5
1,48,Transcription Site,1
1,50,Nascent,10
1,51,Nascent,7
1,52,Nascent,1
1,53,Nascent,25
1,54,Nascent,1
1,55,Nascent,3
1,56,Nascent,21
1,57,Nascent,5
1,58,Nascent,18
1,59,Mature,284
1,59,Nascent,118
1,59,Transcription Site,1
1,60,Mature,9
1,60,Nascent,38
1,61,Nascent,10
1,62,Nascent,5
1,64,Mature,7
1,64,Nascent,27
1,64,Transcription Site,1
1,65,Nascent,13
1,66,Mature,66
1,66,Nascent,295
1,67,Nascent,92
1,68,Mature,7
1,68,Nascent,55
1,68,Transcription Site,1
1,69,Nascent,15
1,70,Nascent,69
1,71,Nascent,7
1,72,Nascent,5
1,73,Nascent,6
1,74,Nascent,40
1,75,Nascent,161
1,76,Nascent,17
1,77,Nascent,11
1,78,Nascent,23
1,78,Transcription Site,1
1,79,Nascent,24
1,80,Nascent,15
1,81,Nascent,8
1,82,Nascent,6
1,83,Nascent,20
1,84,Nascent,3
1,85,Nascent,6
1,86,Mature,99
1,86,Nascent,9
1,87,Nascent,24
1,90,Mature,9
1,90,Nascent,13
1,92,Nascent,11
1,93,Mature,25
1,93,Nascent,130
1,95,Mature,27
1,95,Nascent,15
1,96,Nascent,4
1,97,Nascent,6
1,98,No Spots,1
1,99,Mature,16
1,99,Nascent,23
2,2,No Spots,1
2,3,Nascent,1
2,4,Nascent,4
2,8,Nascent,34
2,11,Nascent,1
2,12,No Spots,1
2,13,Nascent,11
2,14,Nascent,35
2,15,Nascent,7
2,19,Nascent,4
2,20,Nascent,15
2,21,Nascent,13
2,22,Nascent,8
2,25,Nascent,3
2,27,Nascent,1
2,28,Nascent,2
2,29,Nascent,31
2,30,Nascent,11
2,34,Nascent,67
2,35,Nascent,111
2,36,Nascent,11
2,38,Nascent,64
2,39,Nascent,7
2,43,Nascent,28
2,44,Nascent,17
2,46,Nascent,9
2,54,No Spots,1
2,55,Nascent,10
2,56,Nascent,21
2,58,Nascent,2
2,59,Nascent,183
2,61,Nascent,50
2,64,Nascent,19
2,65,Nascent,3
2,66,Nascent,28
2,67,Nascent,1
2,68,Nascent,28
2,69,Nascent,49
2,70,Nascent,6
2,72,Mature,19
2,72,Nascent,39
2,75,Nascent,52
2,78,Nascent,20
2,82,Nascent,13
2,86,Nascent,48
2,90,Mature,7
2,90,Nascent,112
2,92,Nascent,46
2,93,Nascent,9
2,93,Transcription Site,1
2,96,Nascent,12
2,97,Nascent,82
2,98,Nascent,2
2,99,Nascent,2
3,2,Nascent,60
3,3,Nascent,7
3,4,Nascent,4
3,8,Nascent,4
3,12,Nascent,1
3,13,Nascent,2
3,14,Nascent,11
3,19,Nascent,2
3,20,Nascent,22
3,21,Mature,7
3,21,Nascent,238
3,21,Transcription Site,4
3,27,Mature,14
3,27,Nascent,182
3,28,Nascent,23
3,34,Nascent,62
3,35,Nascent,10
3,38,Mature,30
3,38,Nascent,133
3,39,Nascent,12
3,43,Nascent,59
3,44,Nascent,37
3,46,Nascent,8
3,55,Nascent,4
3,56,Nascent,11
3,59,Nascent,17
3,61,Nascent,66
3,66,Nascent,1
3,67,No Spots,1
3,68,Nascent,27
3,70,Nascent,10
3,72,Nascent,28
3,75,No Spots,1
3,82,Nascent,24
3,90,Nascent,19
3,92,Nascent,18
3,93,Nascent,5
3,97,Nascent,46
3,98,Mature,44
3,98,Nascent,82
4,2,Nascent,3
4,12,Nascent,38
4,19,Mature,470
4,19,Nascent,13
4,21,Nascent,8
4,27,Nascent,5
4,27,Transcription Site,2
4,28,Nascent,5
4,34,Nascent,7
4,35,Nascent,289
4,38,No Spots,1
4,39,Nascent,19
4,43,Nascent,8
4,55,Nascent,4
4,56,Nascent,4
4,59,Nascent,11
4,61,Nascent,33
4,68,Nascent,36
4,70,Nascent,1
4,72,Nascent,27
4,82,Nascent,7
4,90,Nascent,10
4,92,Nascent,9
4,93,Nascent,7
4,97,Nascent,14
4,98,Nascent,38
5,19,Nascent,13
5,28,Nascent,13
5,34,Nascent,6
5,35,Nascent,24
5,43,Nascent,1
5,61,Nascent,11
5,68,Nascent,11
5,72,Nascent,3
5,92,Nascent,6
5,97,No Spots,1
5,98,Nascent,6
6,19,Nascent,5
6,61,Nascent,29
6,68,No Spots,1
6,72,Nascent,2
