cell,frame,type,count
1,0,Nascent,61
1,1,Nascent,142
1,1,Transcription Site,1
1,2,Mature,48
1,2,Nascent,481
1,2,Transcription Site,2
1,3,Nascent,71
1,3,No Spots,1
1,4,Nascent,152
1,5,Nascent,6
1,6,Nascent,7
1,7,Nascent,61
1,7,No Spots,1
1,7,Transcription Site,1
1,8,Nascent,16
1,9,Nascent,37
1,9,No Spots,1
1,10,Nascent,34
1,10,No Spots,1
1,11,Nascent,38
1,11,No Spots,1
1,12,Nascent,15
1,12,No Spots,1
1,13,Nascent,44
1,14,Nascent,112
1,15,Mature,23
1,15,Nascent,223
1,16,Mature,349
1,16,Nascent,457
1,16,No Spots,1
1,16,Transcription Site,1
1,17,Nascent,64
1,18,Mature,27
1,18,Nascent,121
1,19,Nascent,15
1,20,Mature,7
1,20,Nascent,87
1,20,Transcription Site,1
1,21,Nascent,16
1,22,Nascent,4
1,22,No Spots,1
1,23,Nascent,52
1,24,Nascent,93
1,24,Transcription Site,2
1,25,Nascent,87
1,26,Nascent,122
1,27,Nascent,39
1,28,Nascent,74
1,28,No Spots,1
1,29,Nascent,28
1,30,Nascent,94
1,30,No Spots,1
1,31,Mature,48
1,31,Nascent,168
1,31,No Spots,1
1,31,Transcription Site,3
1,32,Nascent,57
1,32,No Spots,1
1,33,Nascent,24
1,34,Nascent,68
1,34,Transcription Site,1
1,35,Mature,67
1,35,Nascent,39
1,36,Mature,59
1,36,Nascent,90
1,36,Transcription Site,3
1,37,Nascent,36
1,38,Mature,7
1,38,Nascent,109
1,38,Transcription Site,1
1,39,Nascent,7
1,39,No Spots,1
1,40,Mature,11
1,40,Nascent,71
1,40,Transcription Site,1
1,41,Nascent,25
1,42,Nascent,90
1,43,Nascent,49
1,44,Nascent,83
1,45,Mature,7
1,45,Nascent,77
1,46,Mature,16
1,46,Nascent,163
1,47,Mature,8
1,47,Nascent,218
1,48,Nascent,24
1,49,Nascent,54
1,50,Nascent,25
1,50,Transcription Site,1
1,51,Mature,37
1,51,Nascent,37
1,52,Nascent,52
1,52,No Spots,1
1,53,Nascent,14
1,53,Transcription Site,1
1,54,Nascent,52
1,55,Mature,19
1,55,Nascent,193
1,56,Mature,35
1,56,Nascent,403
1,57,Nascent,25
1,57,No Spots,1
1,58,Mature,80
1,58,Nascent,404
1,58,No Spots,1
1,59,Nascent,12
1,60,Nascent,20
1,60,No Spots,1
1,61,Nascent,47
1,62,Nascent,30
1,63,Mature,9
1,63,Nascent,81
1,64,Nascent,7
1,64,No Spots,1
1,65,Nascent,24
1,65,No Spots,1
1,65,Transcription Site,1
1,66,Nascent,38
1,67,Nascent,45
1,68,Nascent,35
1,69,Mature,7
1,69,Nascent,136
1,69,Transcription Site,1
1,70,Nascent,6
1,71,Nascent,87
1,72,Nascent,59
1,72,No Spots,1
1,73,Nascent,35
1,74,Mature,88
1,74,Nascent,376
1,74,Transcription Site,5
1,75,Nascent,3
1,76,Mature,37
1,76,Nascent,132
1,77,Mature,18
1,77,Nascent,183
1,77,Transcription Site,3
1,78,Mature,125
1,78,Nascent,380
1,78,No Spots,1
1,79,Nascent,59
1,80,Nascent,14
1,80,No Spots,1
1,81,Nascent,10
1,82,Nascent,14
1,82,No Spots,1
1,83,Nascent,10
1,84,Mature,7
1,84,Nascent,88
1,84,No Spots,1
1,85,Nascent,61
1,85,Transcription Site,1
1,86,Nascent,50
1,87,Mature,12
1,87,Nascent,115
1,88,Nascent,104
1,89,Nascent,195
1,89,Transcription Site,2
1,90,Mature,7
1,90,Nascent,31
1,90,Transcription Site,1
1,91,Nascent,27
1,92,Mature,90
1,92,Nascent,135
1,93,Mature,11
1,93,Nascent,80
1,93,Transcription Site,4
1,94,Mature,63
1,94,Nascent,100
1,95,Mature,12
1,95,Nascent,48
1,96,Nascent,43
1,97,Nascent,19
1,98,Nascent,7
1,99,Mature,21
1,99,Nascent,87
2,0,Nascent,29
2,0,Transcription Site,1
2,1,Nascent,1
2,2,Nascent,64
2,3,Nascent,27
2,4,Mature,31
2,4,Nascent,170
2,5,Nascent,74
2,6,Mature,32
2,6,Nascent,79
2,7,Nascent,32
2,8,Nascent,66
2,9,Nascent,46
2,9,No Spots,1
2,10,Mature,54
2,10,Nascent,382
2,10,Transcription Site,1
2,11,Mature,26
2,11,Nascent,324
2,12,Nascent,92
2,12,Transcription Site,1
2,13,Nascent,1
2,13,No Spots,1
2,14,Mature,14
2,14,Nascent,156
2,15,Mature,21
2,15,Nascent,505
2,16,Mature,32
2,16,Nascent,183
2,17,Nascent,112
2,18,Mature,17
2,18,Nascent,89
2,18,Transcription Site,3
2,19,Mature,11
2,19,Nascent,39
2,20,No Spots,2
2,21,Mature,18
2,21,Nascent,174
2,22,Nascent,26
2,23,Nascent,12
2,24,Nascent,65
2,25,Nascent,245
2,26,Mature,73
2,26,Nascent,261
2,26,Transcription Site,3
2,27,Nascent,8
2,28,Nascent,10
2,29,Mature,23
2,29,Nascent,145
2,30,Nascent,4
2,31,Mature,31
2,31,Nascent,186
2,32,Mature,11
2,32,Nascent,71
2,33,Nascent,80
2,34,Mature,7
2,34,Nascent,66
2,35,Nascent,45
2,36,Nascent,25
2,37,Mature,47
2,37,Nascent,91
2,38,Nascent,61
2,38,No Spots,1
2,39,Nascent,26
2,40,Mature,39
2,40,Nascent,17
2,41,Mature,7
2,41,Nascent,46
