cell,frame,type,count
0,45,Nascent,8
0,53,Mature,8
0,53,Nascent,9
0,79,Mature,165
1,0,Nascent,41
1,1,Mature,47
1,1,Nascent,196
1,1,Transcription Site,1
1,2,Nascent,23
1,2,No Spots,1
1,3,Mature,11
1,3,Nascent,161
1,3,No Spots,1
1,3,Transcription Site,1
1,4,Mature,23
1,4,Nascent,82
1,5,Mature,7
1,5,Nascent,181
1,5,No Spots,1
1,6,Mature,37
1,6,Nascent,115
1,6,No Spots,1
1,7,Nascent,15
1,7,No Spots,1
1,7,Transcription Site,2
1,8,Mature,386
1,8,Nascent,829
1,8,No Spots,1
1,8,Transcription Site,38
1,9,Mature,20
1,9,Nascent,69
1,9,Transcription Site,1
1,10,Mature,43
1,10,Nascent,110
1,10,No Spots,1
1,11,Nascent,84
1,11,No Spots,1
1,12,Mature,16
1,12,Nascent,123
1,13,Mature,159
1,13,Nascent,306
1,14,Mature,22
1,14,Nascent,103
1,14,No Spots,1
1,14,Transcription Site,2
1,15,Nascent,49
1,16,Mature,96
1,16,Nascent,142
1,16,No Spots,1
1,16,Transcription Site,14
1,17,Nascent,81
1,17,No Spots,1
1,18,Mature,12
1,18,Nascent,313
1,19,Nascent,30
1,19,No Spots,1
1,20,Nascent,120
1,21,Mature,173
1,21,Nascent,74
1,22,Nascent,114
1,23,Mature,22
1,23,Nascent,84
1,24,Mature,16
1,24,Nascent,74
1,25,Nascent,68
1,25,No Spots,1
1,26,Nascent,86
1,26,No Spots,1
1,27,Nascent,98
1,27,No Spots,1
1,28,Mature,10
1,28,Nascent,159
1,28,Transcription Site,1
1,29,Mature,30
1,29,Nascent,255
1,30,Nascent,46
1,30,No Spots,1
1,31,Mature,31
1,31,Nascent,38
1,31,Transcription Site,1
1,32,Mature,463
1,32,Nascent,115
1,32,No Spots,1
1,33,Mature,12
1,33,Nascent,54
1,34,Mature,8
1,34,Nascent,195
1,34,Transcription Site,1
1,35,Nascent,83
1,35,No Spots,1
1,36,Nascent,27
1,37,Nascent,50
1,38,Nascent,223
1,38,No Spots,1
1,39,Mature,38
1,39,Nascent,61
1,39,No Spots,1
1,40,Mature,11
1,40,Nascent,29
1,40,No Spots,1
1,41,Mature,9
1,41,Nascent,260
1,41,No Spots,1
1,41,Transcription Site,1
1,42,Nascent,5
1,42,No Spots,2
1,43,Nascent,97
1,43,Transcription Site,1
1,44,Mature,9
1,44,Nascent,155
1,45,Nascent,82
1,45,No Spots,1
1,46,Mature,2972
1,46,Nascent,70
1,46,No Spots,1
1,47,Mature,31
1,47,Nascent,368
1,47,Transcription Site,2
1,48,Nascent,121
1,49,Mature,164
1,49,Nascent,553
1,49,No Spots,1
1,50,Mature,286
1,50,Nascent,734
1,50,No Spots,1
1,50,Transcription Site,17
1,51,Mature,478
1,51,Nascent,546
1,51,No Spots,1
1,51,Transcription Site,49
1,52,Nascent,50
1,52,No Spots,1
1,53,Mature,182
1,53,Nascent,318
1,53,No Spots,1
1,53,Transcription Site,22
1,54,Nascent,65
1,54,No Spots,1
1,55,Nascent,31
1,55,No Spots,3
1,56,Mature,13
1,56,Nascent,93
1,56,No Spots,3
1,57,Nascent,36
1,58,Mature,49
1,58,Nascent,114
1,59,Mature,204
1,59,Nascent,656
1,59,Transcription Site,4
1,60,Mature,91
1,60,Nascent,189
1,60,Transcription Site,1
1,61,Nascent,63
1,61,No Spots,2
1,62,Nascent,162
1,63,Mature,7
1,63,Nascent,32
1,63,No Spots,1
1,63,Transcription Site,1
1,64,Mature,26
1,64,Nascent,356
1,64,No Spots,2
1,65,Mature,44
1,65,Nascent,42
1,65,No Spots,1
1,66,Mature,7
1,66,Nascent,181
1,66,No Spots,2
1,67,Mature,7
1,67,Nascent,78
1,67,No Spots,2
1,68,Nascent,9
1,68,No Spots,1
1,69,Nascent,101
1,69,No Spots,1
1,70,Nascent,62
1,70,No Spots,1
1,71,Mature,8
1,71,Nascent,51
1,71,No Spots,1
1,72,Nascent,71
1,72,No Spots,1
1,73,Nascent,72
1,74,Mature,8
1,74,Nascent,120
1,74,No Spots,2
1,74,Transcription Site,3
1,75,Mature,13
1,75,Nascent,73
1,75,Transcription Site,1
1,76,Nascent,17
1,76,No Spots,2
1,76,Transcription Site,2
1,77,Mature,23
1,77,Nascent,117
1,78,Nascent,85
1,79,Mature,95
1,79,Nascent,57
1,79,No Spots,1
1,80,Mature,56
1,80,Nascent,178
1,80,No Spots,1
1,81,Mature,7
1,81,Nascent,33
1,81,No Spots,2
1,82,Mature,13
1,82,Nascent,59
1,82,No Spots,1
1,83,Mature,18
1,83,Nascent,27
1,83,No Spots,3
1,84,Mature,55
1,84,Nascent,42
1,84,No Spots,2
1,85,Nascent,80
1,86,Mature,25
1,86,Nascent,314
1,86,No Spots,1
1,86,Transcription Site,1
1,87,Mature,32
1,87,Nascent,156
1,88,Nascent,5
1,88,No Spots,1
1,89,Mature,7
1,89,Nascent,227
1,90,Nascent,19
1,90,No Spots,2
