cell,frame,type,count
0,20,Nascent,3
0,37,Nascent,6
1,0,Nascent,7
1,0,No Spots,1
1,1,No Spots,2
1,2,Nascent,23
1,3,Nascent,31
1,4,Nascent,40
1,4,No Spots,1
1,5,Nascent,14
1,5,No Spots,2
1,6,Mature,9
1,6,Nascent,87
1,6,No Spots,1
1,7,Mature,8
1,7,Nascent,5
1,7,No Spots,1
1,8,Nascent,24
1,8,No Spots,3
1,9,Nascent,41
1,9,No Spots,2
1,10,Nascent,36
1,10,No Spots,1
1,11,Nascent,20
1,12,Nascent,32
1,13,Nascent,33
1,14,Mature,12
1,14,Nascent,41
1,14,Transcription Site,1
1,15,Nascent,38
1,15,Transcription Site,1
1,16,Mature,9
1,16,Nascent,33
1,17,Nascent,17
1,17,No Spots,1
1,18,Nascent,11
1,19,Nascent,25
1,20,Nascent,6
1,20,No Spots,3
1,21,Nascent,54
1,21,No Spots,1
1,22,Nascent,31
1,23,Nascent,77
1,23,No Spots,1
1,24,Mature,16
1,24,Nascent,16
1,24,No Spots,2
1,24,Transcription Site,1
1,25,Nascent,16
1,25,No Spots,1
1,26,Nascent,20
1,27,Nascent,38
1,27,No Spots,1
1,28,Mature,8
1,28,Nascent,17
1,28,No Spots,1
1,29,Mature,24
1,29,Nascent,34
1,29,No Spots,1
1,29,Transcription Site,2
1,30,Nascent,32
1,30,Transcription Site,1
1,31,Nascent,11
1,31,No Spots,2
1,32,Nascent,25
1,33,Nascent,42
1,34,Nascent,6
1,34,No Spots,4
1,35,Nascent,8
1,35,No Spots,2
1,36,Nascent,8
1,37,Mature,279
1,37,Nascent,551
1,37,No Spots,1
1,37,Transcription Site,24
1,38,Nascent,31
1,39,Mature,9
1,39,Nascent,93
1,40,Mature,11
1,40,Nascent,19
1,40,Transcription Site,1
1,41,Nascent,37
1,41,No Spots,1
1,42,Nascent,12
1,42,No Spots,1
1,43,Nascent,15
1,43,No Spots,2
1,44,Nascent,27
1,45,Nascent,10
1,45,No Spots,2
1,46,Nascent,64
1,46,No Spots,1
1,47,Nascent,56
1,48,Nascent,17
1,48,No Spots,1
1,49,Nascent,21
1,49,No Spots,1
1,50,Nascent,8
1,50,No Spots,2
1,51,Nascent,33
1,52,Nascent,23
1,52,No Spots,2
1,53,Nascent,6
1,53,No Spots,1
1,54,Nascent,11
1,55,Nascent,7
1,55,No Spots,2
1,55,Transcription Site,1
1,56,Nascent,12
1,56,No Spots,2
1,57,Nascent,4
1,57,No Spots,2
1,58,Nascent,4
1,58,No Spots,3
1,59,Nascent,13
1,59,No Spots,1
1,60,Mature,246
1,60,Nascent,543
1,60,No Spots,1
1,60,Transcription Site,32
1,61,Nascent,12
1,61,No Spots,1
1,62,Nascent,7
1,62,No Spots,1
1,63,Nascent,18
1,64,Mature,81
1,64,Nascent,39
1,65,Nascent,16
1,66,Nascent,10
1,66,No Spots,1
1,67,Nascent,37
1,67,No Spots,1
1,68,Nascent,18
1,69,Nascent,15
1,69,No Spots,1
1,69,Transcription Site,1
1,70,Nascent,19
1,70,No Spots,2
1,71,Nascent,21
1,72,Nascent,40
1,73,Mature,7
1,73,Nascent,27
1,73,No Spots,1
1,74,Nascent,15
1,74,No Spots,1
1,75,Nascent,30
1,75,No Spots,1
1,76,Mature,42
1,76,Nascent,49
1,77,Nascent,29
1,78,Nascent,14
1,78,No Spots,1
1,79,Nascent,7
1,80,Mature,106
1,80,Nascent,11
1,80,No Spots,2
1,81,Nascent,10
1,81,No Spots,1
1,82,Nascent,43
1,82,No Spots,2
1,83,Mature,237
1,83,Nascent,460
1,83,No Spots,1
1,83,Transcription Site,31
1,84,Nascent,23
1,85,Mature,10
1,85,Nascent,29
1,85,No Spots,1
1,86,Mature,10
1,86,Nascent,38
1,86,No Spots,2
1,87,Nascent,1
1,87,No Spots,1
1,88,Mature,7
1,88,Nascent,65
1,88,No Spots,1
1,88,Transcription Site,1
1,89,Mature,225
1,89,Nascent,557
1,89,Transcription Site,17
1,90,Nascent,38
1,91,No Spots,2
1,92,Nascent,15
1,93,Nascent,2
1,93,No Spots,1
1,94,Mature,8
1,94,Nascent,39
1,95,Nascent,26
1,95,No Spots,1
1,96,Nascent,65
1,96,No Spots,1
1,97,Mature,43
1,97,Nascent,26
1,97,No Spots,2
1,97,Transcription Site,1
1,98,Nascent,6
1,98,No Spots,2
1,99,Nascent,48
1,99,No Spots,1
2,0,Nascent,5
2,1,Nascent,24
2,2,Nascent,32
2,3,Mature,8
2,3,Nascent,15
2,3,No Spots,2
2,3,Transcription Site,1
2,4,Nascent,67
2,4,No Spots,1
2,5,Mature,14
2,5,Nascent,61
2,6,Mature,8
2,6,Nascent,15
2,6,No Spots,1
2,6,Transcription Site,1
2,7,Nascent,32
2,8,Nascent,26
2,9,Nascent,8
2,9,No Spots,1
2,10,Mature,17
2,10,Nascent,32
2,11,Nascent,11
2,12,Mature,55
2,12,Nascent,14
2,12,No Spots,1
