cell,frame,type,count
0,3,Nascent,40
0,19,Mature,2810
1,0,Nascent,4
1,1,No Spots,1
1,3,Nascent,17
1,4,No Spots,1
1,5,Nascent,5
1,6,No Spots,1
1,7,Nascent,10
1,8,Nascent,4
1,9,No Spots,1
1,10,Nascent,8
1,11,Nascent,2
1,13,Nascent,4
1,16,Nascent,2
1,17,Nascent,16
1,18,Nascent,49
1,19,Nascent,2
1,22,Mature,521
1,22,Nascent,1155
1,22,Transcription Site,79
1,24,Mature,20
1,24,Nascent,6
1,25,No Spots,1
1,26,Nascent,22
1,27,Nascent,9
1,28,Nascent,7
1,29,No Spots,1
1,30,Nascent,4
1,31,No Spots,1
1,33,No Spots,1
1,34,Nascent,6
1,35,Nascent,5
1,36,Nascent,6
1,38,Nascent,23
1,40,No Spots,1
1,41,Nascent,1
1,42,Nascent,1
1,43,Mature,1302
1,43,Nascent,2047
1,43,Transcription Site,98
1,44,Nascent,6
1,46,No Spots,1
1,47,Nascent,25
1,49,Nascent,2
1,49,Transcription Site,1
1,50,Nascent,2
1,52,Nascent,1
1,53,Nascent,29
1,55,Nascent,11
1,57,Mature,879
1,57,Nascent,1137
1,57,Transcription Site,97
1,58,Mature,53
1,58,Nascent,30
1,64,Nascent,28
1,65,No Spots,1
1,67,Nascent,2
1,67,Transcription Site,1
1,69,Nascent,41
1,73,No Spots,1
1,74,Nascent,20
1,76,Nascent,2
1,77,No Spots,1
1,78,Nascent,5
1,80,Mature,1028
1,80,Nascent,1712
1,80,Transcription Site,131
1,81,Nascent,16
1,82,Mature,88
1,82,Nascent,16
1,83,Nascent,1
1,84,No Spots,1
1,86,Nascent,10
1,87,No Spots,1
1,89,No Spots,1
1,90,No Spots,1
1,93,Nascent,60
1,97,No Spots,1
2,0,No Spots,1
2,1,Nascent,3
2,5,No Spots,1
2,6,Nascent,23
2,7,Mature,484
2,7,Nascent,3
2,8,Nascent,3
2,11,Mature,61
2,11,Nascent,33
2,13,No Spots,1
2,16,Nascent,3
2,17,No Spots,1
2,18,Nascent,8
2,19,Nascent,39
2,19,Transcription Site,2
2,24,Nascent,3
2,27,Nascent,1
2,28,No Spots,1
2,30,No Spots,1
2,33,No Spots,1
2,34,Mature,17
2,34,Nascent,30
2,34,Transcription Site,1
2,36,No Spots,1
2,41,No Spots,1
2,41,Transcription Site,1
2,42,Nascent,2
2,43,Mature,170
2,43,Nascent,230
2,43,Transcription Site,22
2,47,No Spots,1
2,50,Nascent,23
2,55,Nascent,3
2,58,Nascent,5
2,73,Nascent,27
2,83,No Spots,1
2,84,No Spots,1
2,86,Nascent,42
2,87,No Spots,1
2,89,Nascent,3
2,93,Nascent,2
2,97,No Spots,1
3,1,Mature,18
3,1,Nascent,32
3,1,Transcription Site,2
3,5,No Spots,1
3,6,No Spots,1
3,11,No Spots,1
3,13,Nascent,4
3,16,Nascent,3
3,18,No Spots,1
3,19,Mature,64
3,19,Nascent,85
3,28,Nascent,1
3,30,Nascent,1
3,34,Nascent,8
3,36,No Spots,1
3,41,Nascent,1
3,42,Nascent,20
3,47,No Spots,1
3,55,Nascent,6
3,73,No Spots,1
3,83,No Spots,1
3,84,No Spots,1
3,86,No Spots,1
3,89,No Spots,1
4,5,Nascent,11
4,13,No Spots,1
4,16,Nascent,2
4,19,No Spots,1
4,28,No Spots,1
4,30,Nascent,6
4,42,Nascent,5
4,83,Nascent,4
4,89,Nascent,10
5,16,Nascent,4
5,30,No Spots,1
5,89,Nascent,4
6,30,Nascent,1
6,30,Transcription Site,1
6,89,Nascent,1
